Type de Jeu,Nom du Jeu,Date Achat,Heure Achat,Enjeu (CHF),Résultat,Gains Totaux (CHF),Réf. externe,Réf. interne
e-Billets,Trésor des Pirates,02.02.2024,14:03:00,15,Gain,15,710156199,ITG-710156199-ITF
e-Billets,Trésor des Pirates,02.02.2024,07:31:00,15,Gain,15,709900552,ITG-709900552-ITF
e-Billets,Trésor des Pirates,31.01.2024,19:04:00,15,Perte,0,708612977,ITG-708612977-ITF
e-Billets,Trésor des Pirates,31.01.2024,19:00:00,15,Gain,30,708610322,ITG-708610322-ITF
e-Billets,Trésor des Pirates,22.01.2024,11:10:00,15,Gain,30,701887248,ITG-701887248-ITF
e-Billets,Trésor des Pirates,22.01.2024,11:07:00,15,Gain,30,701886166,ITG-701886166-ITF
e-Billets,Trésor des Pirates,22.01.2024,11:05:00,15,Gain,15,701885069,ITG-701885069-ITF
e-Billets,Trésor des Pirates,10.01.2024,15:08:00,15,Perte,0,693373779,ITG-693373779-ITF
e-Billets,Trésor des Pirates,05.01.2024,12:09:00,15,Perte,0,688940853,ITG-688940853-ITF
e-Billets,Trésor des Pirates,27.12.2023,12:08:00,15,Gain,40,680977547,ITG-680977547-ITF
e-Billets,Trésor des Pirates,27.12.2023,12:04:00,15,Gain,15,680975526,ITG-680975526-ITF
e-Billets,Trésor des Pirates,27.11.2023,09:31:00,15,Perte,0,658549017,ITG-658549017-ITF
e-Billets,Trésor des Pirates,27.11.2023,09:28:00,15,Gain,15,658548064,ITG-658548064-ITF
e-Billets,Trésor des Pirates,27.11.2023,09:24:00,15,Perte,0,658547212,ITG-658547212-ITF
